Layer,GDV
0,-0.32259697319259245
1,-0.3145976569098677
2,-0.3416093440288758
3,-0.35056591698578454
4,-0.3570828664869301
5,-0.36098311769072816
6,-0.35632514637750073
7,-0.35654060517940767
8,-0.3578705634515425
9,-0.3596026251398798
10,-0.36140128766570573
11,-0.36205152392282486
12,-0.36209769912233497
