Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.1184    0.0 -0.1518  -0.085   True
     0      3  -0.0984    0.0 -0.1318 -0.0651   True
     0      4  -0.1312    0.0 -0.1645 -0.0978   True
     0      5  -0.0892    0.0 -0.1225 -0.0558   True
     0      6  -0.0844    0.0 -0.1177  -0.051   True
     0      7  -0.0875    0.0 -0.1209 -0.0542   True
     0      8  -0.1244    0.0 -0.1577  -0.091   True
     0      9   -0.122    0.0 -0.1554 -0.0886   True
     0     10  -0.0354 0.0238 -0.0687  -0.002   True
     0     11  -0.0428  0.001 -0.0762 -0.0094   True
     0     12  -0.1128    0.0 -0.1462 -0.0795   True
     0     13  -0.0456 0.0002  -0.079 -0.0123   True
     0     14  -0.0666    0.0 -0.0999 -0.0332   True
     0     15  -0.0294 0.1781 -0.0628   0.004  False
     0     16     -0.1    0.0 -0.1334 -0.0666   True
     0     17  -0.1223    0.0 -0.1556 -0.0889   True
     0     18  -0.0611    0.0 -0.0944 -0.0277   True
     0     19  -0.0536    0.0 -0.0869 -0.0202   True
     0     20  -0.0546    0.0  -0.088 -0.0212   True
     0     21   -0.126    0.0 -0.1594 -0.0927   True
     0     22  -0.1151    0.0 -0.1485 -0.0818   True
     0     23  -0.0011    1.0 -0.0345  0.0323  False
     0     24  -0.0034    1.0 -0.0368    0.03  False
     0     25   -0.115    0.0 -0.1484 -0.0816   True
     0     26  -0.0126 0.9999  -0.046  0.0208  False
     0     27  -0.0251 0.4835 -0.0585  0.0082  False
     0     28  -0.0081    1.0 -0.0415  0.0252  False
     0     29  -0.0895    0.0 -0.1229 -0.0562   True
     0     30  -0.0979    0.0 -0.1313 -0.0646   True
     0     31  -0.0097    1.0 -0.0431  0.0237  False
     1      3     0.02 0.8914 -0.0134  0.0533  False
     1      4  -0.0128 0.9998 -0.0461  0.0206  False
     1      5   0.0292 0.1878 -0.0042  0.0626  False
     1      6    0.034 0.0397  0.0006  0.0674   True
     1      7   0.0309 0.1156 -0.0025  0.0642  False
     1      8   -0.006    1.0 -0.0393  0.0274  False
     1      9  -0.0036    1.0  -0.037  0.0298  False
     1     10    0.083    0.0  0.0497  0.1164   True
     1     11   0.0756    0.0  0.0422   0.109   True
     1     12   0.0056    1.0 -0.0278  0.0389  False
     1     13   0.0727    0.0  0.0394  0.1061   True
     1     14   0.0518    0.0  0.0185  0.0852   True
     1     15    0.089    0.0  0.0556  0.1223   True
     1     16   0.0184 0.9531  -0.015  0.0518  False
     1     17  -0.0039    1.0 -0.0373  0.0295  False
     1     18   0.0573    0.0   0.024  0.0907   True
     1     19   0.0648    0.0  0.0315  0.0982   True
     1     20   0.0638    0.0  0.0304  0.0972   True
     1     21  -0.0077    1.0  -0.041  0.0257  False
     1     22   0.0032    1.0 -0.0301  0.0366  False
     1     23   0.1173    0.0  0.0839  0.1506   True
     1     24    0.115    0.0  0.0816  0.1483   True
     1     25   0.0034    1.0   -0.03  0.0367  False
     1     26   0.1058    0.0  0.0724  0.1392   True
     1     27   0.0932    0.0  0.0599  0.1266   True
     1     28   0.1103    0.0  0.0769  0.1436   True
     1     29   0.0289 0.2077 -0.0045  0.0622  False
     1     30   0.0205 0.8636 -0.0129  0.0538  False
     1     31   0.1087    0.0  0.0753   0.142   True
     3      4  -0.0327 0.0626 -0.0661  0.0006  False
     3      5   0.0093    1.0 -0.0241  0.0426  False
     3      6   0.0141 0.9989 -0.0193  0.0474  False
     3      7   0.0109    1.0 -0.0225  0.0443  False
     3      8  -0.0259 0.4159 -0.0593  0.0074  False
     3      9  -0.0236 0.6251 -0.0569  0.0098  False
     3     10   0.0631    0.0  0.0297  0.0964   True
     3     11   0.0556    0.0  0.0223   0.089   True
     3     12  -0.0144 0.9984 -0.0478   0.019  False
     3     13   0.0528    0.0  0.0194  0.0862   True
     3     14   0.0319 0.0834 -0.0015  0.0652  False
     3     15    0.069    0.0  0.0357  0.1024   True
     3     16  -0.0016    1.0 -0.0349  0.0318  False
     3     17  -0.0238 0.6003 -0.0572  0.0095  False
     3     18   0.0374 0.0107   0.004  0.0707   True
     3     19   0.0449 0.0003  0.0115  0.0782   True
     3     20   0.0438 0.0006  0.0105  0.0772   True
