Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 1536])",0.6749539594843462,0.6749145440945571,0.6666666666666666,0.6668137188362517,0.6786372007366482,0.6786527322623968,0.6593001841620626,0.6591730263089162,0.6740331491712708,0.6739712255874845
1,"torch.Size([5428, 1536])",0.5902394106813996,0.5903913068474067,0.5828729281767956,0.5828824775058492,0.6040515653775322,0.6041482796996188,0.58195211786372,0.5821549848623133,0.6086556169429097,0.6086406823004893
2,"torch.Size([5428, 1536])",0.6031307550644567,0.6028126416195295,0.5930018416206262,0.5926368270509179,0.6022099447513812,0.6019301725937417,0.6012891344383057,0.601108920712412,0.6114180478821363,0.61094308140132
4,"torch.Size([5428, 1536])",0.5939226519337016,0.593613667645215,0.6160220994475138,0.6158726254334052,0.6206261510128913,0.6207072248001579,0.5699815837937385,0.5699024603497337,0.5874769797421732,0.587275454084988
5,"torch.Size([5428, 1536])",0.5976058931860037,0.5979561086111994,0.6068139963167587,0.6067403014724283,0.569060773480663,0.5689950013154432,0.5930018416206262,0.5929977004102235,0.6132596685082873,0.613266226808352
