Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 1536])",0.6049723756906077,0.6049338567031173,0.6482504604051565,0.6483160799770967,0.6335174953959485,0.633393158246508,0.6344383057090239,0.6344906958988137,0.6289134438305709,0.6287482256883431
1,"torch.Size([5428, 1536])",0.5911602209944752,0.589606431649674,0.6040515653775322,0.6039669495315987,0.5994475138121547,0.5992573652747469,0.5791896869244936,0.5786742239667108,0.576427255985267,0.5766518766950749
3,"torch.Size([5428, 1536])",0.6206261510128913,0.6205270608284544,0.572744014732965,0.5723787494793171,0.5930018416206262,0.5930184068555238,0.6022099447513812,0.6016814862313955,0.5718232044198895,0.5717559625763814
5,"torch.Size([5428, 1536])",0.6187845303867403,0.6187845303867403,0.6464088397790055,0.6463440636749104,0.6252302025782689,0.6253315797510043,0.6160220994475138,0.6160289364579399,0.6003683241252302,0.6003005322623445
6,"torch.Size([5428, 1536])",0.5939226519337016,0.5935661316008324,0.5598526703499079,0.5598227740127052,0.583793738489871,0.5832835293798049,0.5911602209944752,0.5905384810991129,0.572744014732965,0.571799956677251
7,"torch.Size([5428, 1536])",0.6012891344383057,0.6012820348075976,0.5755064456721916,0.5755543302920083,0.580110497237569,0.5801261622057236,0.6169429097605893,0.6169377128241509,0.6040515653775322,0.6040354505334091
8,"torch.Size([5428, 4608])",0.5994475138121547,0.599371083583297,0.5911602209944752,0.5910769963296236,0.58195211786372,0.5820925413739787,0.576427255985267,0.575921142106481,0.6022099447513812,0.6022423397271229
9,"torch.Size([5428, 1536])",0.5985267034990792,0.5984654252505562,0.5791896869244936,0.5790601546748941,0.6160220994475138,0.6161907358447775,0.5883977900552486,0.5882983246369584,0.6160220994475138,0.6159924681814808
11,"torch.Size([5428, 1536])",0.5828729281767956,0.5829418969567686,0.5920810313075506,0.59212150100338,0.6068139963167587,0.6067929855756939,0.5939226519337016,0.5938375814269122,0.5773480662983426,0.577106042991654
