Layer,GDV
0,-0.2796122073429386
1,-0.3016341453456396
2,-0.30609186925914245
3,-0.3547825471307419
4,-0.3693904656182293
5,-0.3986615377741195
6,-0.3840927784998061
7,-0.39790973770177523
8,-0.3740469243346908
9,-0.4322554007700896
10,-0.41327067009441604
11,-0.31626089465985274
