Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
     5      7  -0.0054    1.0 -0.0639  0.0532  False
     5      8  -0.0376 0.7988 -0.0961  0.0209  False
     5      9  -0.0373 0.8104 -0.0958  0.0212  False
     5     10   0.0411 0.6367 -0.0174  0.0996  False
     5     11   0.0399 0.6966 -0.0186  0.0984  False
     5     12  -0.0122    1.0 -0.0707  0.0463  False
     5     13   0.0292 0.9862 -0.0293  0.0877  False
     5     14   0.0194    1.0 -0.0391  0.0779  False
     5     15   0.0452 0.4293 -0.0133  0.1037  False
     5     16  -0.0226 0.9998 -0.0811  0.0359  False
     5     17  -0.0293 0.9856 -0.0878  0.0292  False
     5     18    0.024 0.9993 -0.0345  0.0825  False
     5     19   0.0265 0.9966  -0.032   0.085  False
     5     20    0.032 0.9569 -0.0265  0.0905  False
     5     21  -0.0344 0.9082 -0.0929  0.0241  False
     5     22  -0.0298 0.9821 -0.0883  0.0287  False
     5     23   0.0716 0.0023  0.0131  0.1301   True
     5     24   0.0646 0.0131  0.0061  0.1231   True
     5     25  -0.0298 0.9818 -0.0883  0.0287  False
     5     26   0.0663 0.0088  0.0078  0.1248   True
     5     27   0.0473  0.333 -0.0112  0.1058  False
     5     28   0.0774 0.0005  0.0189  0.1359   True
     5     29   0.0055    1.0  -0.053   0.064  False
     5     30  -0.0191    1.0 -0.0776  0.0394  False
     5     31   0.0792 0.0003  0.0207  0.1377   True
     6      7    0.004    1.0 -0.0545  0.0625  False
     6      8  -0.0283 0.9912 -0.0868  0.0302  False
     6      9   -0.028 0.9924 -0.0865  0.0305  False
     6     10   0.0505 0.2117  -0.008   0.109  False
     6     11   0.0493 0.2534 -0.0092  0.1078  False
     6     12  -0.0028    1.0 -0.0613  0.0557  False
     6     13   0.0385 0.7594   -0.02   0.097  False
     6     14   0.0288 0.9886 -0.0297  0.0873  False
     6     15   0.0545  0.107  -0.004   0.113  False
     6     16  -0.0132    1.0 -0.0717  0.0453  False
     6     17  -0.0199    1.0 -0.0784  0.0386  False
     6     18   0.0333 0.9323 -0.0252  0.0918  False
     6     19   0.0359 0.8638 -0.0226  0.0944  False
     6     20   0.0414 0.6236 -0.0171  0.0999  False
     6     21   -0.025 0.9987 -0.0835  0.0335  False
     6     22  -0.0204    1.0 -0.0789  0.0381  False
     6     23    0.081 0.0002  0.0225  0.1395   True
     6     24    0.074 0.0013  0.0155  0.1325   True
     6     25  -0.0204    1.0 -0.0789  0.0381  False
     6     26   0.0757 0.0008  0.0172  0.1342   True
     6     27   0.0566 0.0724 -0.0019  0.1151  False
     6     28   0.0868    0.0  0.0283  0.1453   True
     6     29   0.0148    1.0 -0.0437  0.0733  False
     6     30  -0.0098    1.0 -0.0683  0.0487  False
     6     31   0.0886    0.0  0.0301  0.1471   True
     7      8  -0.0323 0.9525 -0.0908  0.0262  False
     7      9   -0.032 0.9571 -0.0905  0.0265  False
     7     10   0.0464 0.3693 -0.0121   0.105  False
     7     11   0.0452 0.4262 -0.0133  0.1037  False
     7     12  -0.0068    1.0 -0.0653  0.0517  False
     7     13   0.0345  0.904  -0.024   0.093  False
     7     14   0.0248 0.9988 -0.0337  0.0833  False
     7     15   0.0505 0.2094  -0.008   0.109  False
     7     16  -0.0173    1.0 -0.0758  0.0413  False
     7     17  -0.0239 0.9994 -0.0824  0.0346  False
     7     18   0.0293 0.9852 -0.0292  0.0878  False
     7     19   0.0319 0.9589 -0.0266  0.0904  False
     7     20   0.0373   0.81 -0.0212  0.0958  False
     7     21   -0.029 0.9872 -0.0875  0.0295  False
     7     22  -0.0244 0.9991 -0.0829  0.0341  False
     7     23    0.077 0.0006  0.0185  0.1355   True
     7     24     0.07 0.0036  0.0115  0.1285   True
     7     25  -0.0244 0.9991  -0.083  0.0341  False
     7     26   0.0717 0.0023  0.0132  0.1302   True
     7     27   0.0526 0.1495 -0.0059  0.1111  False
     7     28   0.0828 0.0001  0.0243  0.1413   True
     7     29   0.0108    1.0 -0.0477  0.0693  False
     7     30  -0.0138    1.0 -0.0723  0.0447  False
     7     31   0.0846 0.0001  0.0261  0.1431   True
     8      9   0.0003    1.0 -0.0582  0.0588  False
     8     10   0.0787 0.0003  0.0202  0.1372   True
     8     11   0.0775 0.0005   0.019   0.136   True
     8     12   0.0254 0.9982 -0.0331  0.0839  False
     8     13   0.0668 0.0079  0.0083  0.1253   True
     8     14    0.057 0.0668 -0.0015  0.1155  False
     8     15   0.0828 0.0001  0.0243  0.1413   True
     8     16    0.015    1.0 -0.0435  0.0735  False
     8     17   0.0083    1.0 -0.0502  0.0668  False
     8     18   0.0616  0.026  0.0031  0.1201   True
     8     19   0.0641 0.0147  0.0056  0.1226   True
     8     20   0.0696 0.0039  0.0111  0.1281   True
     8     21   0.0032    1.0 -0.0553  0.0617  False
     8     22   0.0079    1.0 -0.0506  0.0664  False
     8     23   0.1093    0.0  0.0508  0.1678   True
     8     24   0.1022    0.0  0.0437  0.1608   True
     8     25   0.0078    1.0 -0.0507  0.0663  False
     8     26    0.104    0.0  0.0455  0.1625   True
     8     27   0.0849 0.0001  0.0264  0.1434   True
     8     28    0.115    0.0  0.0565  0.1735   True
     8     29   0.0431  0.534 -0.0154  0.1016  False
     8     30   0.0185    1.0   -0.04   0.077  False
     8     31   0.1168    0.0  0.0583  0.1753   True
     9     10   0.0784 0.0004  0.0199  0.1369   True
     9     11   0.0772 0.0005  0.0187  0.1357   True
     9     12   0.0251 0.9985 -0.0334  0.0836  False
     9     13   0.0665 0.0084   0.008   0.125   True
     9     14   0.0568 0.0707 -0.0017  0.1153  False
     9     15   0.0825 0.0001   0.024   0.141   True
     9     16   0.0147    1.0 -0.0438  0.0732  False
     9     17    0.008    1.0 -0.0505  0.0665  False
     9     18   0.0613 0.0277  0.0028  0.1198   True
     9     19   0.0638 0.0157  0.0053  0.1223   True
     9     20   0.0693 0.0042  0.0108  0.1278   True
     9     21    0.003    1.0 -0.0555  0.0615  False
     9     22   0.0076    1.0 -0.0509  0.0661  False
     9     23    0.109    0.0  0.0505  0.1675   True
     9     24    0.102    0.0  0.0435  0.1605   True
     9     25   0.0075    1.0  -0.051   0.066  False
     9     26   0.1037    0.0  0.0452  0.1622   True
     9     27   0.0846 0.0001  0.0261  0.1431   True
     9     28   0.1147    0.0  0.0562  0.1733   True
     9     29   0.0428 0.5488 -0.0157  0.1013  False
     9     30   0.0182    1.0 -0.0403  0.0767  False
     9     31   0.1165    0.0   0.058   0.175   True
    10     11  -0.0012    1.0 -0.0597  0.0573  False
