Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
     6     12   -0.006    1.0 -0.0395  0.0276  False
     6     13   0.0098    1.0 -0.0237  0.0434  False
     6     14   0.0193 0.8903 -0.0143  0.0528  False
     6     15   0.0133 0.9986 -0.0203  0.0468  False
     6     16  -0.0017    1.0 -0.0352  0.0318  False
     6     17   0.0166 0.9754  -0.017  0.0501  False
     6     20   0.0164 0.9779 -0.0171  0.0499  False
     6     21  -0.0078    1.0 -0.0413  0.0257  False
     6     22   0.0049    1.0 -0.0286  0.0385  False
     6     23   0.0064    1.0 -0.0271    0.04  False
     6     24   0.0079    1.0 -0.0257  0.0414  False
     6     25   0.0327 0.0655 -0.0008  0.0662  False
     6     26   0.0302 0.1395 -0.0033  0.0637  False
     6     27   0.0133 0.9985 -0.0202  0.0469  False
     6     28   0.0274 0.2877 -0.0062  0.0609  False
     6     31   0.0196 0.8734 -0.0139  0.0531  False
     9     10  -0.0139 0.9972 -0.0475  0.0196  False
     9     11  -0.0028    1.0 -0.0363  0.0307  False
     9     12  -0.0079    1.0 -0.0414  0.0256  False
     9     13   0.0079    1.0 -0.0256  0.0414  False
     9     14   0.0173 0.9597 -0.0162  0.0509  False
     9     15   0.0113 0.9999 -0.0222  0.0449  False
     9     16  -0.0036    1.0 -0.0372  0.0299  False
     9     17   0.0146 0.9947 -0.0189  0.0481  False
     9     20   0.0145 0.9954 -0.0191   0.048  False
     9     21  -0.0097    1.0 -0.0433  0.0238  False
     9     22    0.003    1.0 -0.0306  0.0365  False
     9     23   0.0045    1.0  -0.029   0.038  False
     9     24   0.0059    1.0 -0.0276  0.0395  False
     9     25   0.0308 0.1187 -0.0028  0.0643  False
     9     26   0.0283 0.2326 -0.0053  0.0618  False
     9     27   0.0114 0.9999 -0.0222  0.0449  False
     9     28   0.0254 0.4303 -0.0081  0.0589  False
     9     31   0.0177 0.9511 -0.0159  0.0512  False
    10     11   0.0112 0.9999 -0.0224  0.0447  False
    10     12    0.006    1.0 -0.0275  0.0396  False
    10     13   0.0218 0.7269 -0.0117  0.0554  False
    10     14   0.0313 0.1022 -0.0023  0.0648  False
    10     15   0.0253  0.442 -0.0083  0.0588  False
    10     16   0.0103    1.0 -0.0232  0.0438  False
    10     17   0.0286 0.2161  -0.005  0.0621  False
    10     20   0.0284 0.2245 -0.0051  0.0619  False
    10     21   0.0042    1.0 -0.0293  0.0378  False
    10     22   0.0169 0.9686 -0.0166  0.0505  False
    10     23   0.0184 0.9254 -0.0151   0.052  False
    10     24   0.0199 0.8582 -0.0136  0.0534  False
    10     25   0.0447 0.0006  0.0112  0.0782   True
    10     26   0.0422 0.0018  0.0087  0.0757   True
    10     27   0.0253 0.4378 -0.0082  0.0589  False
    10     28   0.0394 0.0058  0.0058  0.0729   True
    10     31   0.0316 0.0924 -0.0019  0.0651  False
    11     12  -0.0051    1.0 -0.0386  0.0284  False
    11     13   0.0107    1.0 -0.0229  0.0442  False
    11     14   0.0201 0.8446 -0.0134  0.0537  False
    11     15   0.0141 0.9967 -0.0194  0.0477  False
    11     16  -0.0008    1.0 -0.0344  0.0327  False
    11     17   0.0174 0.9579 -0.0161  0.0509  False
    11     20   0.0172 0.9616 -0.0163  0.0508  False
    11     21  -0.0069    1.0 -0.0405  0.0266  False
    11     22   0.0058    1.0 -0.0278  0.0393  False
    11     23   0.0073    1.0 -0.0262  0.0408  False
    11     24   0.0087    1.0 -0.0248  0.0423  False
    11     25   0.0336 0.0496     0.0  0.0671   True
    11     26   0.0311 0.1092 -0.0025  0.0646  False
    11     27   0.0142 0.9965 -0.0194  0.0477  False
    11     28   0.0282 0.2354 -0.0053  0.0617  False
    11     31   0.0205 0.8242 -0.0131   0.054  False
    12     13   0.0158 0.9858 -0.0178  0.0493  False
    12     14   0.0252 0.4455 -0.0083  0.0588  False
    12     15   0.0192 0.8926 -0.0143  0.0528  False
    12     16   0.0043    1.0 -0.0293  0.0378  False
    12     17   0.0225 0.6734  -0.011   0.056  False
    12     20   0.0224 0.6857 -0.0112  0.0559  False
    12     21  -0.0018    1.0 -0.0354  0.0317  False
    12     22   0.0109 0.9999 -0.0227  0.0444  False
    12     23   0.0124 0.9995 -0.0211  0.0459  False
