Layer,GDV
0,-0.3184116026979469
1,-0.5591125086222991
2,-0.5737630558298974
3,-0.5441703473935782
4,-0.5425014999046457
5,-0.5323222555485331
6,-0.5255963437773712
7,-0.5344363282210324
8,-0.5278224128375906
9,-0.5240929893898486
10,-0.5166828393231072
11,-0.5158688904977287
12,-0.5235718266994387
