Layer,Activations Shape,Accuracy,F1 Score
0,"torch.Size([100, 61, 768])",0.6,0.6
1,"torch.Size([100, 61, 768])",0.4,0.4
2,"torch.Size([100, 61, 768])",0.4,0.4
4,"torch.Size([100, 61, 768])",0.45,0.2793103448275862
5,"torch.Size([100, 61, 768])",0.4,0.4
6,"torch.Size([100, 61, 768])",0.4,0.4
7,"torch.Size([100, 61, 768])",0.6,0.6
9,"torch.Size([100, 61, 768])",0.35,0.3451127819548872
10,"torch.Size([100, 61, 768])",0.4,0.4
11,"torch.Size([100, 61, 768])",0.35,0.3451127819548872
