Layer,Activations Shape,Accuracy,F1 Score
0,"torch.Size([5428, 71, 768])",0.6749539594843462,0.674878708859097
1,"torch.Size([5428, 71, 768])",0.5791896869244936,0.5791950389884862
2,"torch.Size([5428, 71, 768])",0.6003683241252302,0.6003615472151634
4,"torch.Size([5428, 71, 768])",0.5791896869244936,0.5791950389884862
5,"torch.Size([5428, 71, 768])",0.5791896869244936,0.5791950389884862
